Artifact Name,Final Patch,Build Outcome,Time in s
black_1_0.log,virtualenv==20.0.20 regex==2020.5.7 click==7.1.2 typing_extensions==3.7.4.2 mypy_extensions==0.4.3 appdirs==1.4.3 toml==0.10.0 typed_ast==1.4.1 pathspec==0.8.0,Exhausted all options,842.24448
black_1_1.log,regex==2020.5.7 click==7.1.2 typing_extensions==3.7.4.2 mypy_extensions==0.4.3 appdirs==1.4.3 toml==0.10.0 typed_ast==1.4.1 pathspec==0.8.0,Exhausted all options,706.876417
black_2_0.log,regex==2020.5.7 click==7.1.2 typing_extensions==3.7.4.2 mypy_extensions==0.4.3 appdirs==1.4.3 toml==0.10.0 typed_ast==1.4.1 pathspec==0.8.0,Exhausted all options,718.615414
black_2_1.log,regex==2020.5.7 click==7.1.2 typing_extensions==3.7.4.2 mypy_extensions==0.4.3 appdirs==1.4.3 toml==0.10.0 typed_ast==1.4.1 pathspec==0.8.0,Exhausted all options,538.892358
black_3_1.log,virtualenv==20.0.18 regex==2020.4.4 click==7.1.2 typing_extensions==3.7.4.2 mypy_extensions==0.4.3 appdirs==1.4.3 toml==0.10.0 typed_ast==1.4.1 pathspec==0.8.0,Exhausted all options,570.240416
black_6_0.log,virtualenv==16.5.0 click==7.0 appdirs==1.4.3 attrs==19.1.0 toml==0.10.0 typed_ast==1.3.5,Exhausted all options,584.92355
black_6_1.log,virtualenv==16.5.0 click==7.0 appdirs==1.4.3 attrs==19.1.0 toml==0.10.0 typed_ast==1.3.5,Exhausted all options,622.991941
pandas_103_0.log,numpy==1.18.0 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.57.1 sortedcontainers==2.1.0,Exhausted all options,19823.4713
pandas_104_0.log,numpy==1.18.0 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.56.3 sortedcontainers==2.1.0,Exhausted all options,19836.9118
pandas_105_0.log,numpy==1.18.0 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.56.3 sortedcontainers==2.1.0,Exhausted all options,17566.0966
pandas_106_0.log,numpy==1.18.0 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.0 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.56.3 sortedcontainers==2.1.0,Exhausted all options,19801.0124
pandas_11_0.log,pytest==5.4.1 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.3 more_itertools==8.2.0 pytz==2020.1 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.10.4 sortedcontainers==2.1.0 wcwidth==0.1.9,Exhausted all options,19078.2296
pandas_110_0.log,numpy==1.18.0rc1 pytest==5.3.1 attrs==19.3.0 pluggy==0.13.1 py==1.8.0 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.53.2,Exhausted all options,18744.8825
