Artifact Name,Final Patch,Fix Outcome,Time in s
black_11_0.log,virtualenv==16.2.0 click==7.0 appdirs==1.4.3 attrs==18.2.0 toml==0.10.0,No longer recognized as a dependency error,482.191913
black_11_1.log,click==7.0 appdirs==1.4.3 attrs==18.2.0 toml==0.10.0,Successfully fixed build,337.438991
black_12_0.log,virtualenv==16.0.0 click==6.7 appdirs==1.4.3 attrs==18.1.0 toml==0.9.4,No longer recognized as a dependency error,486.037286
black_12_1.log,virtualenv==16.0.0 click==6.7 appdirs==1.4.3 attrs==18.1.0 toml==0.9.4,Successfully fixed build,451.771504
black_10_0.log,click==7.0 appdirs==1.4.3 attrs==18.2.0 toml==0.10.0,No longer recognized as a dependency error,315.876284
black_10_1.log,virtualenv==16.3.0 click==7.0 appdirs==1.4.3 attrs==18.2.0 toml==0.10.0,Successfully fixed build,429.369575
sanic_5_0.log,pytest==3.10.0 six==1.9.0 atomicwrites==1.2.1 py==1.7.0 attrs==18.2.0 pluggy==0.8.0 more_itertools==4.3.0,No longer recognized as a dependency error,769.388966
sanic_5_1.log,pytest==3.10.0 six==1.9.0 atomicwrites==1.2.1 py==1.7.0 attrs==18.2.0 pluggy==0.8.0 more_itertools==4.3.0,Successfully fixed build,840.246381
tornado_10_0.log,virtualenv==15.1.0,Exhausted all options,112.735026
tornado_10_1.log,virtualenv==15.1.0,Exhausted all options,114.167871
pandas_1_0.log,virtualenv==20.0.21 cython==3.0a5 numpy==1.19.0rc1 pytest==5.4.2 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.4 more_itertools==8.3.0 pytz==2020.1 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.15.1 sortedcontainers==2.1.0 wcwidth==0.1.9,No longer recognized as a dependency error,21763.6444
pandas_1_1.log,virtualenv==20.0.21 cython==3.0a5 numpy==1.19.0rc1 pytest==5.4.2 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.4 more_itertools==8.3.0 pytz==2020.1 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.15.1 sortedcontainers==2.1.0,Successfully fixed build,20175.5316
scrapy_36_0.log,w3lib==1.21.0 lxml==4.5.0 parsel==1.6.0 cssselect==1.1.0 service_identity==18.1.0 pyasn1_modules==0.2.8,Exhausted all options,1412.20881
scrapy_36_1.log,w3lib==1.21.0 lxml==4.5.0 parsel==1.6.0 cssselect==1.1.0,Successfully fixed build,897.602871
scrapy_1_0.log,w3lib==1.21.0 lxml==4.5.0 parsel==1.5.2 cssselect==1.1.0 service_identity==18.1.0 pyasn1_modules==0.2.8,Exhausted all options,1559.69928
scrapy_1_1.log,w3lib==1.21.0 lxml==4.5.0 parsel==1.5.2 cssselect==1.1.0 service_identity==18.1.0 pyasn1_modules==0.2.8,Exhausted all options,1600.78313
matplotlib_1_0.log,pytest==5.4.3 py==1.8.1 attrs==19.3.0 pluggy==1.0.0.dev0 packaging==20.4 more_itertools==8.3.0 wcwidth==0.2.4,No longer recognized as a dependency error,2134.24172
matplotlib_1_1.log,pytest==5.4.3 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.4 more_itertools==8.3.0,Successfully fixed build,1200.02756
pandas_105_0.log,numpy==1.18.0 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.56.3 sortedcontainers==2.1.0,Exhausted all options,17566.0966
pandas_105_1.log,numpy==1.18.0 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.56.3 sortedcontainers==2.1.0,Successfully fixed build,19874.8201
