PROJECT_NAME: scrapy
BUG_ID: 6
VERSION_ID: 1
WORK_DIR: /home/sumukher/evals/BugsInPy/framework/bin/temp
https://github.com/scrapy/scrapy
github_url="https://github.com/scrapy/scrapy"
status="OK" 
fatal: destination path '/home/sumukher/evals/BugsInPy/framework/bin/temp/scrapy' already exists and is not an empty directory.
HEAD is now at 25f609e2 Merge pull request #2675 from simongartz/png-p-to-jpg-conversion-fix
'/home/sumukher/evals/BugsInPy/framework/bin/temp/scrapy/tests/test_pipeline_images.py' -> '/home/sumukher/evals/BugsInPy/projects/scrapy/bugs/6/test_pipeline_images.py'
HEAD is now at 8aa2e4f9 Merge pull request #1829 from nyov/nyov/editor
Removing bugsinpy_bug.info
Removing bugsinpy_compile_flag
Removing bugsinpy_fail.txt
Removing bugsinpy_patchfile.info
Removing bugsinpy_requirements.txt
Removing bugsinpy_run_test.sh
Removing bugsinpy_setup.sh
Removing env/bin/Activate.ps1
Removing env/bin/activate
Removing env/bin/activate.csh
Removing env/bin/activate.fish
Removing env/bin/automat-visualize
Removing env/bin/cftp
Removing env/bin/ckeygen
Removing env/bin/conch
Removing env/bin/easy_install
Removing env/bin/easy_install-3.8
Removing env/bin/flask
Removing env/bin/mailmail
Removing env/bin/miniterm.py
Removing env/bin/mitmdump
Removing env/bin/mitmproxy
Removing env/bin/mitmweb
Removing env/bin/pathoc
Removing env/bin/pathod
Removing env/bin/pbr
Removing env/bin/pip
Removing env/bin/pip3
Removing env/bin/pip3.8
Removing env/bin/py.test
Removing env/bin/pyhtmlizer
Removing env/bin/pytest
Removing env/bin/python
Removing env/bin/python3
Removing env/bin/scrapy
Removing env/bin/tkconch
Removing env/bin/trial
Removing env/bin/twist
Removing env/bin/twistd
Removing env/include/
Removing env/lib/python3.8/site-packages/.libs_cffi_backend/
Removing env/lib/python3.8/site-packages/Automat-20.2.0.dist-info/
Removing env/lib/python3.8/site-packages/Brotli-1.0.9.dist-info/
Removing env/lib/python3.8/site-packages/Flask-1.1.2.dist-info/
Removing env/lib/python3.8/site-packages/Jinja2-2.11.3.dist-info/
Removing env/lib/python3.8/site-packages/MarkupSafe-1.1.1.dist-info/
Removing env/lib/python3.8/site-packages/OpenSSL/SSL.py
Removing env/lib/python3.8/site-packages/OpenSSL/__init__.py
Removing env/lib/python3.8/site-packages/OpenSSL/_util.py
Removing env/lib/python3.8/site-packages/OpenSSL/crypto.py
Removing env/lib/python3.8/site-packages/OpenSSL/debug.py
Removing env/lib/python3.8/site-packages/OpenSSL/rand.py
Removing env/lib/python3.8/site-packages/OpenSSL/tsafe.py
Removing env/lib/python3.8/site-packages/OpenSSL/version.py
Removing env/lib/python3.8/site-packages/PIL/BdfFontFile.py
Removing env/lib/python3.8/site-packages/PIL/BlpImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/BmpImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/BufrStubImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/ContainerIO.py
Removing env/lib/python3.8/site-packages/PIL/CurImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/DcxImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/DdsImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/EpsImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/ExifTags.py
Removing env/lib/python3.8/site-packages/PIL/FitsStubImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/FliImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/FontFile.py
Removing env/lib/python3.8/site-packages/PIL/FpxImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/FtexImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/GbrImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/GdImageFile.py
Removing env/lib/python3.8/site-packages/PIL/GifImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/GimpGradientFile.py
Removing env/lib/python3.8/site-packages/PIL/GimpPaletteFile.py
Removing env/lib/python3.8/site-packages/PIL/GribStubImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/Hdf5StubImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/IcnsImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/IcoImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/ImImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/Image.py
Removing env/lib/python3.8/site-packages/PIL/ImageChops.py
Removing env/lib/python3.8/site-packages/PIL/ImageCms.py
Removing env/lib/python3.8/site-packages/PIL/ImageColor.py
Removing env/lib/python3.8/site-packages/PIL/ImageDraw.py
Removing env/lib/python3.8/site-packages/PIL/ImageDraw2.py
Removing env/lib/python3.8/site-packages/PIL/ImageEnhance.py
Removing env/lib/python3.8/site-packages/PIL/ImageFile.py
Removing env/lib/python3.8/site-packages/PIL/ImageFilter.py
Removing env/lib/python3.8/site-packages/PIL/ImageFont.py
Removing env/lib/python3.8/site-packages/PIL/ImageGrab.py
Removing env/lib/python3.8/site-packages/PIL/ImageMath.py
Removing env/lib/python3.8/site-packages/PIL/ImageMode.py
Removing env/lib/python3.8/site-packages/PIL/ImageMorph.py
Removing env/lib/python3.8/site-packages/PIL/ImageOps.py
Removing env/lib/python3.8/site-packages/PIL/ImagePalette.py
Removing env/lib/python3.8/site-packages/PIL/ImagePath.py
Removing env/lib/python3.8/site-packages/PIL/ImageQt.py
Removing env/lib/python3.8/site-packages/PIL/ImageSequence.py
Removing env/lib/python3.8/site-packages/PIL/ImageShow.py
Removing env/lib/python3.8/site-packages/PIL/ImageStat.py
Removing env/lib/python3.8/site-packages/PIL/ImageTk.py
Removing env/lib/python3.8/site-packages/PIL/ImageTransform.py
Removing env/lib/python3.8/site-packages/PIL/ImageWin.py
Removing env/lib/python3.8/site-packages/PIL/ImtImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/IptcImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/Jpeg2KImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/JpegImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/JpegPresets.py
Removing env/lib/python3.8/site-packages/PIL/McIdasImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/MicImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/MpegImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/MpoImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/MspImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/PSDraw.py
Removing env/lib/python3.8/site-packages/PIL/PaletteFile.py
Removing env/lib/python3.8/site-packages/PIL/PalmImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/PcdImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/PcfFontFile.py
Removing env/lib/python3.8/site-packages/PIL/PcxImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/PdfImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/PdfParser.py
Removing env/lib/python3.8/site-packages/PIL/PixarImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/PngImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/PpmImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/PsdImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/PyAccess.py
Removing env/lib/python3.8/site-packages/PIL/SgiImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/SpiderImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/SunImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/TarIO.py
Removing env/lib/python3.8/site-packages/PIL/TgaImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/TiffImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/TiffTags.py
Removing env/lib/python3.8/site-packages/PIL/WalImageFile.py
Removing env/lib/python3.8/site-packages/PIL/WebPImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/WmfImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/XVThumbImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/XbmImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/XpmImagePlugin.py
Removing env/lib/python3.8/site-packages/PIL/__init__.py
Removing env/lib/python3.8/site-packages/PIL/__main__.py
Removing env/lib/python3.8/site-packages/PIL/_binary.py
Removing env/lib/python3.8/site-packages/PIL/_imaging.cpython-38-x86_64-linux-gnu.so
Removing env/lib/python3.8/site-packages/PIL/_imagingcms.cpython-38-x86_64-linux-gnu.so
Removing env/lib/python3.8/site-packages/PIL/_imagingft.cpython-38-x86_64-linux-gnu.so
Removing env/lib/python3.8/site-packages/PIL/_imagingmath.cpython-38-x86_64-linux-gnu.so
Removing env/lib/python3.8/site-packages/PIL/_imagingmorph.cpython-38-x86_64-linux-gnu.so
Removing env/lib/python3.8/site-packages/PIL/_imagingtk.cpython-38-x86_64-linux-gnu.so
Removing env/lib/python3.8/site-packages/PIL/_tkinter_finder.py
Removing env/lib/python3.8/site-packages/PIL/_util.py
Removing env/lib/python3.8/site-packages/PIL/_version.py
Removing env/lib/python3.8/site-packages/PIL/_webp.cpython-38-x86_64-linux-gnu.so
Removing env/lib/python3.8/site-packages/PIL/features.py
Removing env/lib/python3.8/site-packages/Pillow-7.1.2.dist-info/
Removing env/lib/python3.8/site-packages/Pillow.libs/
Removing env/lib/python3.8/site-packages/PyHamcrest-2.0.2.dist-info/
Removing env/lib/python3.8/site-packages/SOAPpy/Client.py
Removing env/lib/python3.8/site-packages/SOAPpy/Config.py
Removing env/lib/python3.8/site-packages/SOAPpy/Errors.py
Removing env/lib/python3.8/site-packages/SOAPpy/GSIServer.py
Removing env/lib/python3.8/site-packages/SOAPpy/NS.py
Removing env/lib/python3.8/site-packages/SOAPpy/Parser.py
Removing env/lib/python3.8/site-packages/SOAPpy/SOAP.py
Removing env/lib/python3.8/site-packages/SOAPpy/SOAPBuilder.py
Removing env/lib/python3.8/site-packages/SOAPpy/Server.py
Removing env/lib/python3.8/site-packages/SOAPpy/Types.py
Removing env/lib/python3.8/site-packages/SOAPpy/URLopener.py
Removing env/lib/python3.8/site-packages/SOAPpy/Utilities.py
Removing env/lib/python3.8/site-packages/SOAPpy/WSDL.py
Removing env/lib/python3.8/site-packages/SOAPpy/__init__.py
Removing env/lib/python3.8/site-packages/SOAPpy/version.py
Removing env/lib/python3.8/site-packages/Scrapy-2.1.0.dist-info/
Removing env/lib/python3.8/site-packages/Werkzeug-1.0.1.dist-info/
Removing env/lib/python3.8/site-packages/_brotli.cpython-38-x86_64-linux-gnu.so
Removing env/lib/python3.8/site-packages/_cffi_backend.cpython-38-x86_64-linux-gnu.so
Removing env/lib/python3.8/site-packages/_pytest/__init__.py
Removing env/lib/python3.8/site-packages/_pytest/_argcomplete.py
Removing env/lib/python3.8/site-packages/_pytest/_code/__init__.py
